Tên,Link,Giá,Ảnh,Hệ điều hành,Loại màn hình,Camera sau,Camera trước,Chipset,RAM,Bộ nhớ trong (ROM)
Điện Thoại Nokia 5 - Màu Xanh NK1053BL,https://pico.vn/35977/dien-thoai-di-dong-nokia-5-blue--ta1053.html,1990000,https://cdn.pico.vn/Product/35977/267607_nokia-5-blue-ebuy.jo-1-900x900.jpg,Android 7.1,IPS LCD,13 MP,8 MP,Qualcomm Snapdragon 430 8 nhân 64 bit,2 GB,16GB
Điện Thoại Nokia 5 NK1053C - Màu Đồng,https://pico.vn/36022/dien-thoai-di-dong-nokia-5-copper--dong---ta1053.html,1990000,https://cdn.pico.vn/Product/36022/268308_nokia-5-copper-ebuy.jo-1-900x900.jpg,Android 7.1,IPS LCD,13 MP,8 MP,Qualcomm Snapdragon 430 8 nhân 64 bit,2 GB,16GB
Điện Thoại Nokia 5 Bạc,https://pico.vn/35882/dien-thoai-di-dong-nokia-5-silver--ta1053.html,1990000,https://cdn.pico.vn/Product/35882/265687_nokia-5silverfront.jpg,Android 7.1,IPS LCD,13 MP,8 MP,Qualcomm Snapdragon 430 8 nhân 64 bit,2 GB,16 GB
Điện thoại di động Nokia 225 Bright Green,https://pico.vn/25405/dien-thoai-di-dong-nokia-225-bright-green.html,999000,https://cdn.pico.vn/Product/25405/274111_1.jpg,,LCD,2.0 MP,,,,
Điện thoại Samsung Galaxy A5 2017,https://pico.vn/34685/dien-thoai-di-dong-samsung-a520--galaxy-a5-2017.html,1990000,https://cdn.pico.vn/Product/34685/274877_ssa520b.jpg,Android 6.0,Super AMOLED,16 MP,16 MP,Exynos 7880,3 GB,32 GB
Điện Thoại Nokia 150 TA-1235 DS VN BLACK - Model 2020,https://pico.vn/41541/dien-thoai-di-dong-nokia-150-ta1235-ds-vn-black--model-2020.html,649000,https://cdn.pico.vn/Product/41541/359711_untitled-1.jpg,,TFT,VGA (480 x 640 pixels),,,,
Điện Thoại Nokia 150 TA-1235 DS VN RED - Model 2020,https://pico.vn/41540/dien-thoai-di-dong-nokia-150-ta1235-ds-vn-red--model-2020.html,649000,https://cdn.pico.vn/Product/41540/359719_untitled-1.jpg,,TFT,VGA (480 x 640 pixels),,,,
"Điện Thoại Samsung Galaxy Note 20 Xám ( SM-N980F/DS, 256GB )",https://pico.vn/41532/dien-thoai-di-dong-samsung-smn980fds-256gb-xam--galaxy-note-20.html,21990000,https://cdn.pico.vn/Product/41532/359571_sm-n980981galaxynote20frontpenmysticgray200609.jpg,Android 10,"Super AMOLED Plus 6.7 inch,","Sau: Chính 64 MP & Phụ 12 MP, 12 MP,",Trước :10 MP,"Exynos 990 8 nhân 64-bit, Ram 8Gb",Ram 8Gb,"256 GB,"
"Điện Thoại Samsung Galaxy Note 20 Đồng ( SM-N980F/DS, 256GB )",https://pico.vn/41531/dien-thoai-di-dong-samsung-smn980fds-256gb-dong--galaxy-note-20.html,21990000,https://cdn.pico.vn/Product/41531/359590_sm-n980981galaxynote20frontpenmysticbronze200609.jpg,Android 10,"Super AMOLED Plus 6.7 inch,","Sau: Chính 64 MP & Phụ 12 MP, 12 MP,",Trước 10MP,"Exynos 990 8 nhân 64-bit, Ram 8Gb",Ram 8GB,"256 GB,"
"Điện Thoại Samsung Galaxy Note 20 Xanh ( SM-N980F/DS, 256GB )",https://pico.vn/41530/dien-thoai-di-dong-samsung-smn980fds-256gb-xanh--galaxy-note-20.html,21990000,https://cdn.pico.vn/Product/41530/359609_sm-n980981galaxynote20frontpenmysticgreen200620.jpg,24 tháng,"Super AMOLED Plus 6.7 inch,","Sau: Chính 64 MP & Phụ 12 MP, 12 MP,",Trước :10 MP,"Exynos 990 8 nhân 64-bit, Ram 8Gb",Ram 8 GB,"256 GB,"
Samsung Galaxy Note 20 Ultra 5G 256Gb Đồng,https://pico.vn/41529/dien-thoai-di-dong-samsung-smn986bds-256gb-dong--galaxy-note-20-ultra-5g.html,32990000,https://cdn.pico.vn/Product/41529/359656_sm-n985986galaxynote20ultrafrontpenmysticbronze200605.jpg,Android 10,"Dynamic AMOLED 2X, 6.9"", Quad HD+ (2K+)","Chính 108 MP & Phụ 12 MP, 12 MP, cảm biến Laser AF,",10MP,Exynos 990 8 nhân 64-bit,12gb,"256 GB, hỗ trợ thẻ nhớ MicroSD 1TB"
Samsung Galaxy Note 20 Ultra 256Gb Trắng,https://pico.vn/41528/dien-thoai-di-dong-samsung-smn985fds-256gb-trang--galaxy-note-20-ultra.html,27490000,https://cdn.pico.vn/Product/41528/359675_sm-n985986galaxynote20ultrafrontpenmysticwhite200529.jpg,Android 10,"Dynamic AMOLED 2X, 6.9"", Quad HD+ (2K+)","108MP + 12MP + 12MP, công nghệ cảm biến Laser AF
Quay phim 8K",10MP,Exynos 990 8 nhân 64-bit,8 Gb,"256 GB, hỗ trợ thẻ nhớ MicroSD 1TB"
