name,url,price,ram,rom,image,category
oppo a94 (8gb|128gb),https://didongviet.vn/oppo-a94,7290000,ram: 8gb,bộ nhớ trong: 128gb,https://didongviet.vn/pub/media/catalog/product//o/p/oppo-a94-black-didongviet.jpg,oppo
samsung galaxy s21 plus 5g (8gb|256gb),https://didongviet.vn/samsung-galaxy-s21-plus-8gb-256gb,18990000,ram: 8 gb,bộ nhớ trong: 256 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-s21-plus-8gb-256gb.jpg,samsung
samsung galaxy s21 ultra 5g (12gb|256gb),https://didongviet.vn/samsung-galaxy-s21-ultra-12gb-256gb,23590000,ram: 12 gb,bộ nhớ trong: 256 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-s21-ultra-12gb-256gb.jpg,samsung
"samsung galaxy s21 plus 5g (8gb|128gb) (nguyên seal, bhđt)",https://didongviet.vn/samsung-galaxy-s21-plus-128gb,16790000,ram: 8 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//s/2/s21-plus-5g_2.jpg,samsung
samsung galaxy s21 plus 5g (8gb|128gb),https://didongviet.vn/dien-thoai-galaxy-s21-plus,16890000,ram: 8 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//s/2/s21-plus-5g.jpg,samsung
"samsung galaxy s21 ultra 5g (12gb|128gb) (nguyên seal, bhđt)",https://didongviet.vn/samsung-galaxy-s21-ultra-128gb,21290000,ram: 12 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//g/a/galaxy-s21-plus-siver-didongviet_2.jpg,samsung
samsung galaxy s21 ultra 5g (12gb|128gb),https://didongviet.vn/dien-thoai-galaxy-s21-ultra,21390000,ram: 12 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//g/a/galaxy-s21-plus-siver-didongviet.jpg,samsung
"samsung galaxy note 20 (8gb|256gb) (nguyên seal, bhđt)",https://didongviet.vn/samsung-galaxy-note-20-256-gb,14790000,ram: 8 gb,bộ nhớ trong: 256 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-note-20-8gb-256gb_2_1.jpg,samsung
samsung galaxy note 20 (8gb|256gb),https://didongviet.vn/samsung-galaxy-note-20-8gb-256gb,21390000,ram: 8 gb,bộ nhớ trong: 256 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-note-20-8gb-256gb_1_3.jpg,samsung
redmi note 10 (4gb|64gb),https://didongviet.vn/redmi-note-10-4g-64gb,4290000,ram: 6 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//x/i/xiaomi-redmi-note-10_3.jpg,other
redmi note 10 (6gb|128gb),https://didongviet.vn/xiaomi-redmi-note-10,4990000,ram: 6 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//x/i/xiaomi-redmi-note-10.jpg,other
samsung galaxy note 20 ultra (8gb|256gb),https://didongviet.vn/samsung-galaxy-note-20-ultra-ban-256gb,26990000,ram: 8 gb,bộ nhớ trong: 256 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-note-2020-ultra_2_1_1_4_1.jpg,samsung
samsung galaxy note 20 ultra (8gb|256gb) (cũ - fullbox),https://didongviet.vn/samsung-galaxy-note-20-ultra-8-gb-256-gb,18590000,ram: 8 gb,bộ nhớ trong: 256 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-note-2020-ultra_2_1_1_3.jpg,samsung
