category,name,url,price,image,color,screen,rear camera,front camera,operating system - cpu,memory - storage,connection,battery info - charging
iphone,iphone 12 64gb chính hãng (vn/a),https://didongviet.vn/iphone-12-64gb-vna,20190000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-didongviet.jpg,"green, red, black, white, blue","công nghệ màn hình: super retina xdr oled, độ phân giải: 1170 x 2532 pixels, màn hình rộng: 6.1 inches","độ phân giải: 12 mp + 12 mp, quay phim: 4k@24/30/60fps, 1080p@30/60/120/240fps, hdr, dolby vision hdr (up to 30fps), stereo sound rec.",độ phân giải: 12 mp,"hệ điều hành: ios 14.1, chipset (hãng sx cpu): apple a14 bionic (5 nm), tốc độ cpu: hexa-core, chip đồ họa (gpu): apple gpu (4-core graphics)","ram: 4 gb, bộ nhớ trong: 64 gb, thẻ nhớ ngoài: không","wifi: wi-fi 802.11 a/b/g/n/ac/6, dual-band, hotspot, gps: yes, with a-gps, glonass, galileo, qzss, bluetooth: 5.0, a2dp, le, cổng kết nối/sạc: lightning, usb 2.0",dung lượng pin: 2815 mah
iphone,iphone 11 64gb cũ,https://didongviet.vn/apple-iphone-11-64gb-likenew,13590000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-11-didongviet_3_8.jpg,"màu đen, màu đỏ, màu vàng, màu trắng, màu tím, màu xanh","công nghệ màn hình: ips lcd, độ phân giải: 828 x 1792 pixels, màn hình rộng: 6.1 inches","độ phân giải: 12 mp + 12 mp, quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, hdr, stereo sound rec.","độ phân giải: 12 mp, f/2.2","hệ điều hành: ios 13, chipset (hãng sx cpu): apple a13 bionic, tốc độ cpu: hexa-core","ram: 4 gb, bộ nhớ trong: 64 gb","sim: nano sim, wifi: wi-fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot, gps: a-gps, glonass, galileo, qzss, bluetooth: 5.0, a2dp, le",loại pin: li-ion
iphone,iphone x 64gb cũ,https://didongviet.vn/iphone-x-64gb-like-new,8190000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-x-64gb_2.jpg,"màu xám, màu bạc","công nghệ màn hình: oled, độ phân giải: 1125 x 2436 pixels, màn hình rộng: 5.8 inches","độ phân giải: dual: 12 mp (f/1.8, 28mm) + 12 mp (f/2.4, 52mm), ois, phase detection autofocus, 2x optical zoom, quad-led dual-tone flash,, quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, đèn flash: có",độ phân giải: 7 mp,"hệ điều hành: ios 11.1.1, chipset (hãng sx cpu): apple a11 bionic, tốc độ cpu: hexa-core 2.39 ghz (2x monsoon + 4x mistral)","ram: 3 gb, bộ nhớ trong: 64 gb","wifi: wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot, gps: yes, with a-gps, glonass, galileo, qzss, bluetooth: 5.0, a2dp, le",dung lượng pin: 2716 mah
iphone,iphone 7 32gb cũ,https://didongviet.vn/iphone-7-32gb-ll-a-quoc-te,3790000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-7-vang-didongviet_1_9.jpg,"đen bóng, màu hồng, màu trắng, gold, đen nhám","công nghệ màn hình: led-backlit ips lcd, độ phân giải: hd (1334 x 750 pixels), màn hình rộng: 4.7 inch, mặt kính cảm ứng: kính oleophobic (ion cường lực)","độ phân giải: 12 mp, quay phim: quay phim 4k 2160p@30fps, đèn flash: 4 đèn led (2 tông màu), chụp ảnh nâng cao: tự động lấy nét, chạm lấy nét, nhận diện khuôn mặt, hdr, panorama, chống rung quang học (ois)","độ phân giải: 7 mp, videocall: hỗ trợ videocall thông qua ứng dụng, thông tin khác: selfie ngược sáng hdr, tự động lấy nét, quay video full hd, nhận diện khuôn mặt, retina flash, panorama","hệ điều hành: ios 10, chipset (hãng sx cpu): apple a10 fusion 4 nhân 64-bit, tốc độ cpu: 2.3 ghz, chip đồ họa (gpu): chip đồ họa 6 nhân","ram: 2 gb, bộ nhớ trong: 32 gb, bộ nhớ còn lại (khả dụng): khoảng 28 gb, thẻ nhớ ngoài: không","mạng di động: 3g, 4g lte cat 9, sim: 1 nano sim, wifi: wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi hotspot, gps: a-gps, glonass, bluetooth: v4.2, a2dp, le, cổng kết nối/sạc: lightning, jack tai nghe: không, kết nối khác: air play, nfc, otg, hdmi","dung lượng pin: 1960 mah, loại pin: pin chuẩn li-ion, công nghệ pin: tiết kiệm pin"
iphone,iphone 12 128gb chính hãng (vn/a),https://didongviet.vn/iphone-12-128gb-vna,21990000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-didongviet_1.jpg,"black, white, green, blue, red","công nghệ màn hình: super retina xdr oled, độ phân giải: 1170 x 2532 pixels, màn hình rộng: 6.1 inches","độ phân giải: 12 mp + 12 mp, quay phim: 4k@24/30/60fps, 1080p@30/60/120/240fps, hdr, dolby vision hdr (up to 30fps)",độ phân giải: 12 mp,"hệ điều hành: ios 14, chipset (hãng sx cpu): apple a14 bionic (5 nm), tốc độ cpu: hexa-core",bộ nhớ trong: 128 gb,"mạng di động: hỗ trợ 5g, wifi: wi-fi 802.11 a/b/g/n/ac/6, dual-band, hotspot, bluetooth: 5.0, a2dp, le, cổng kết nối/sạc: lightning, usb 2.0",nan
iphone,iphone 12 pro 128gb chính hãng (vn/a),https://didongviet.vn/iphone-12-pro-128gb-vna,26590000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-pro-128gb-didongviet.jpg,"silver, graphite, pacific blue, gold","công nghệ màn hình: super retina xdr oled, độ phân giải: 1170 x 2532 pixels, màn hình rộng: 6.1 inches","độ phân giải: 12 mp + 12 mp + 12 mp + tof, quay phim: 4k@24/30/60fps, 1080p@30/60/120/240fps, hdr, dolby vision hdr (up to 60fps)",độ phân giải: 12 mp,"hệ điều hành: ios 14, chipset (hãng sx cpu): apple a14 bionic (5 nm), tốc độ cpu: hexa-core",bộ nhớ trong: 128 gb,"mạng di động: hỗ trợ 5g, wifi: wi-fi 802.11 a/b/g/n/ac/6, dual-band, hotspot, bluetooth: 5.0, a2dp, le, cổng kết nối/sạc: lightning, usb 2.0","dung lượng pin: 2815 mah, loại pin: li-ion, công nghệ pin: sạc nhanh 20w"
iphone,iphone 12 pro 256gb chính hãng (vn/a),https://didongviet.vn/iphone-12-pro-256gb-vna,28490000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-pro-256gb-didongviet.jpg,"graphite, pacific blue, silver, gold","công nghệ màn hình: super retina xdr oled, độ phân giải: 1170 x 2532 pixels, màn hình rộng: 6.1 inches","độ phân giải: 12 mp + 12 mp + 12 mp + tof, quay phim: 4k@24/30/60fps, 1080p@30/60/120/240fps, hdr, dolby vision hdr (up to 60fps)",độ phân giải: 12 mp,"hệ điều hành: ios 14, chipset (hãng sx cpu): apple a14 bionic (5 nm), tốc độ cpu: hexa-core",bộ nhớ trong: 256 gb,"mạng di động: hỗ trợ 5g, wifi: wi-fi 802.11 a/b/g/n/ac/6, dual-band, hotspot, bluetooth: 5.0, a2dp, le, cổng kết nối/sạc: lightning, usb 2.0",nan
iphone,iphone 12 pro 512gb chính hãng (vn/a),https://didongviet.vn/iphone-12-pro-512gb-vna,33990000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-pro-256gb-didongviet_1.jpg,"gold, graphite, pacific blue, silver","công nghệ màn hình: super retina xdr oled, độ phân giải: 1170 x 2532 pixels, màn hình rộng: 6.1 inches","độ phân giải: 12 mp + 12 mp + 12 mp + tof, quay phim: 4k@24/30/60fps, 1080p@30/60/120/240fps, hdr, dolby vision hdr (up to 60fps)",độ phân giải: 12 mp,"hệ điều hành: ios 14, chipset (hãng sx cpu): apple a14 bionic (5 nm), tốc độ cpu: hexa-core",bộ nhớ trong: 512 gb,"mạng di động: hỗ trợ 5g, wifi: wi-fi 802.11 a/b/g/n/ac/6, dual-band, hotspot, bluetooth: 5.0, a2dp, le, cổng kết nối/sạc: lightning, usb 2.0",nan
iphone,iphone 12 pro max 128gb chính hãng (vn/a),https://didongviet.vn/iphone-12-pro-max-128gb-vna,29190000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-promax-didongviet.jpg,"silver, graphite, pacific blue, gold","công nghệ màn hình: super retina xdr oled, độ phân giải: 1284 x 2778 pixels, màn hình rộng: 6.7 inches","độ phân giải: 12 mp + 12 mp + 12 mp + tof, quay phim: 4k@24/30/60fps, 1080p@30/60/120/240fps, hdr, dolby vision hdr (up to 60fps)",độ phân giải: 12 mp,"hệ điều hành: ios 14, chipset (hãng sx cpu): apple a14 bionic (5 nm), tốc độ cpu: hexa-core",bộ nhớ trong: 128 gb,"mạng di động: hỗ trợ 5g, wifi: wi-fi 802.11 a/b/g/n/ac/6, dual-band, hotspot, bluetooth: 5.0, a2dp, le, cổng kết nối/sạc: lightning, usb 2.0",nan
iphone,iphone 12 pro max 256gb chính hãng (vn/a),https://didongviet.vn/iphone-12-pro-max-256gb-vna,31990000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-promax-didongviet_1.jpg,"silver, graphite, pacific blue, gold","công nghệ màn hình: super retina xdr oled, độ phân giải: 1284 x 2778 pixels, màn hình rộng: 6.7 inches","độ phân giải: 12 mp + 12 mp + 12 mp + tof, quay phim: 4k@24/30/60fps, 1080p@30/60/120/240fps, hdr, dolby vision hdr (up to 60fps)",độ phân giải: 12 mp,"hệ điều hành: ios 14, chipset (hãng sx cpu): apple a14 bionic (5 nm), tốc độ cpu: hexa-core",bộ nhớ trong: 256 gb,"mạng di động: hỗ trợ 5g, wifi: wi-fi 802.11 a/b/g/n/ac/6, dual-band, hotspot, bluetooth: 5.0, a2dp, le, cổng kết nối/sạc: lightning, usb 2.0",nan
