name,url,price,ram,rom,image,category
điện thoại samsung galaxy a12 4gb/128gb xanh,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a12-128gb-xanh.html,3550000, 4gb , 128gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại samsung galaxy a12 4gb/128gb đen,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a12-128gb-den.html,3550000, 4gb , 128gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại samsung galaxy a12 4gb/128gb trắng,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a12-128gb-trang.html,3550000, 4gb , 128gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại samsung galaxy a02s 4gb/64gb xanh,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a02s-4gb-64gb-xanh.html,3350000, 4gb , 64gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại samsung galaxy a02s 4gb/64gb đen,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a02s-4gb-64gb-den.html,3350000, 4gb , 64gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại samsung galaxy a32 4g 6gb/128gb tím,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a32-4g-6gb-128gb-tim.html,5640000, 6gb , 128gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại samsung galaxy a72 4g 8gb/256gb đen,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a72-4g-8gb-256gb-den.html,10690000, 8gb , 256gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại samsung galaxy note 20 đồng,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-note-20-dong.html,21990000, 8 gb , 256 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại samsung galaxy a32 4g 6gb/128gb xanh,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a32-4g-6gb-128gb-xanh.html,5640000, 6gb , 128gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại xiaomi redmi note 10 6gb/128gb xám,https://www.nguyenkim.com/dien-thoai-xiaomi-redmi-note-10-6gb-128gb-xam.html,4990000, 6gb , 128gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,xiaomi
điện thoại samsung galaxy a52 4g 8gb/128gb đen,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a52-4g-8gb-128gb-den.html,7890000, 8gb , 128gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại samsung galaxy note 20 xanh,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-note-20-xanh.html,21990000, 8 gb , 256 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
