category,name,url,price,image,color,screen type,rear camera,front camera,chipset,ram,internal memory (rom)
nokia,điện thoại nokia 5 - màu xanh nk1053bl,https://pico.vn/35977/dien-thoai-di-dong-nokia-5-blue--ta1053.html,1990000,https://cdn.pico.vn/product/35977/267607_nokia-5-blue-ebuy.jo-1-900x900.jpg,android 7.1,ips lcd,13 mp,8 mp,qualcomm snapdragon 430 8 nhân 64 bit,2 gb,16gb
nokia,điện thoại nokia 5 nk1053c - màu đồng,https://pico.vn/36022/dien-thoai-di-dong-nokia-5-copper--dong---ta1053.html,1990000,https://cdn.pico.vn/product/36022/268308_nokia-5-copper-ebuy.jo-1-900x900.jpg,android 7.1,ips lcd,13 mp,8 mp,qualcomm snapdragon 430 8 nhân 64 bit,2 gb,16gb
nokia,điện thoại nokia 5 bạc,https://pico.vn/35882/dien-thoai-di-dong-nokia-5-silver--ta1053.html,1990000,https://cdn.pico.vn/product/35882/265687_nokia-5silverfront.jpg,android 7.1,ips lcd,13 mp,8 mp,qualcomm snapdragon 430 8 nhân 64 bit,2 gb,16 gb
nokia,điện thoại di động nokia 225 bright green,https://pico.vn/25405/dien-thoai-di-dong-nokia-225-bright-green.html,999000,https://cdn.pico.vn/product/25405/274111_1.jpg,nan,lcd,2.0 mp,nan,nan,nan,nan
samsung,điện thoại samsung galaxy a5 2017,https://pico.vn/34685/dien-thoai-di-dong-samsung-a520--galaxy-a5-2017.html,1990000,https://cdn.pico.vn/product/34685/274877_ssa520b.jpg,android 6.0,super amoled,16 mp,16 mp,exynos 7880,3 gb,32 gb
nokia,điện thoại nokia 150 ta-1235 ds vn black - model 2020,https://pico.vn/41541/dien-thoai-di-dong-nokia-150-ta1235-ds-vn-black--model-2020.html,649000,https://cdn.pico.vn/product/41541/359711_untitled-1.jpg,nan,tft,vga (480 x 640 pixels),nan,nan,nan,nan
nokia,điện thoại nokia 150 ta-1235 ds vn red - model 2020,https://pico.vn/41540/dien-thoai-di-dong-nokia-150-ta1235-ds-vn-red--model-2020.html,649000,https://cdn.pico.vn/product/41540/359719_untitled-1.jpg,nan,tft,vga (480 x 640 pixels),nan,nan,nan,nan
samsung,"điện thoại samsung galaxy note 20 xám ( sm-n980f/ds, 256gb )",https://pico.vn/41532/dien-thoai-di-dong-samsung-smn980fds-256gb-xam--galaxy-note-20.html,21990000,https://cdn.pico.vn/product/41532/359571_sm-n980981galaxynote20frontpenmysticgray200609.jpg,android 10,"super amoled plus 6.7 inch,","sau: chính 64 mp & phụ 12 mp, 12 mp,",trước :10 mp,"exynos 990 8 nhân 64-bit, ram 8gb",ram 8gb,"256 gb,"
samsung,"điện thoại samsung galaxy note 20 đồng ( sm-n980f/ds, 256gb )",https://pico.vn/41531/dien-thoai-di-dong-samsung-smn980fds-256gb-dong--galaxy-note-20.html,21990000,https://cdn.pico.vn/product/41531/359590_sm-n980981galaxynote20frontpenmysticbronze200609.jpg,android 10,"super amoled plus 6.7 inch,","sau: chính 64 mp & phụ 12 mp, 12 mp,",trước 10mp,"exynos 990 8 nhân 64-bit, ram 8gb",ram 8gb,"256 gb,"
samsung,"điện thoại samsung galaxy note 20 xanh ( sm-n980f/ds, 256gb )",https://pico.vn/41530/dien-thoai-di-dong-samsung-smn980fds-256gb-xanh--galaxy-note-20.html,21990000,https://cdn.pico.vn/product/41530/359609_sm-n980981galaxynote20frontpenmysticgreen200620.jpg,24 tháng,"super amoled plus 6.7 inch,","sau: chính 64 mp & phụ 12 mp, 12 mp,",trước :10 mp,"exynos 990 8 nhân 64-bit, ram 8gb",ram 8 gb,"256 gb,"
