name,url,price,brand,image,option,category
điện thoại oppo a12 (3gb/32gb) - hàng chính hãng,https://tiki.vn/dien-thoai-oppo-a12-3gb-32gb-hang-chinh-hang-xanh-duong-p53827214.html,2.420.000 ₫,oppo,https://salt.tikicdn.com/cache/280x280/ts/product/54/1b/6a/e9dc08e1a4e6eb6439442b2df5150aeb.jpg,,oppo
điện thoại realme c11 (2gb/32gb) - hàng chính hãng,https://tiki.vn/dien-thoai-realme-c11-2gb-32gb-hang-chinh-hang-p58065346.html,2.150.000 ₫,realme,https://salt.tikicdn.com/cache/280x280/ts/product/c5/a1/cd/b9f3e343440b02c54f95a9034990e0d5.jpg,,realme
điện thoại samsung galaxy a51 (6gb/128gb) - hàng chính hãng,https://tiki.vn/dien-thoai-samsung-galaxy-a51-128gb-6gb-hang-chinh-hang-p45339109.html,5.790.000 ₫,samsung,https://salt.tikicdn.com/cache/280x280/ts/product/82/95/cf/f11cddb33c745f8145e955e2c5c4b880.jpg,,samsung
điện thoại vsmart live 4 (6gb/64gb) - hàng chính hãng,https://tiki.vn/dien-thoai-vsmart-live-4-hang-chinh-hang-p63839533.html,3.699.000 ₫,vsmart,https://salt.tikicdn.com/cache/280x280/ts/product/cd/92/da/3360d9dcb541dd5d2aaa59ae0ad6b1c5.jpg,6gb/64gb,vsmart
điện thoại vsmart joy 4 - hàng chính hãng,https://tiki.vn/dien-thoai-vsmart-joy-4-hang-chinh-hang-p67910637.html,2.790.000 ₫,vsmart,https://salt.tikicdn.com/cache/280x280/ts/product/52/db/ed/250ed1f223e0711ac9f3ea93ade7074d.jpg,3gb/64gb,vsmart
điện thoại samsung galaxy m31 (6gb/128gb) - hàng chính hãng,https://tiki.vn/dien-thoai-samsung-galaxy-m31-6gb-128gb-hang-chinh-hang-p58259141.html,4.750.000 ₫,samsung,https://salt.tikicdn.com/cache/280x280/ts/product/50/86/f1/8c08d595e64661d3d0d9438ca2194de3.jpg,,samsung
điện thoại samsung galaxy m11 (3gb/32gb) - hàng chính hãng,https://tiki.vn/dien-thoai-samsung-galaxy-m11-3gb-32gb-hang-chinh-hang-p52717588.html,2.750.000 ₫,samsung,https://salt.tikicdn.com/cache/280x280/ts/product/3c/2e/83/1fe324e3e614c92cce21f3bf70812998.jpg,,samsung
điện thoại xiaomi poco m3 - hàng chính hãng,https://tiki.vn/dien-thoai-xiaomi-poco-m3-hang-chinh-hang-p74240829.html,3.179.000 ₫,xiaomi,https://salt.tikicdn.com/cache/280x280/ts/product/6a/fd/9f/e3ef030fb6a7e2a1439bc6ae88345bbd.png,4gb+64gb,xiaomi
điện thoại iphone 11 64gb - hàng chính hãng,https://tiki.vn/dien-thoai-iphone-11-64gb-hang-chinh-hang-p32033717.html,16.150.000 ₫,apple,https://salt.tikicdn.com/cache/280x280/ts/product/0c/62/39/31879ad1c9cf92b35e58749268ba4ff7.jpg,,iphone
điện thoại samsung galaxy a10s (2gb/32gb) - hàng chính hãng,https://tiki.vn/dien-thoai-samsung-galaxy-a10s-32gb-2gb-hang-chinh-hang-p25918805.html,2.250.000 ₫,samsung,https://salt.tikicdn.com/cache/280x280/ts/product/d7/84/2e/cb10342d637fe64e335dbd27f4f1700c.jpg,,samsung
điện thoại xiaomi redmi 9a (2gb/32gb) - hàng chính hãng,https://tiki.vn/dien-thoai-xiaomi-redmi-9a-2gb-32gb-hang-chinh-hang-p57809866.html,1.910.000 ₫,xiaomi,https://salt.tikicdn.com/cache/280x280/ts/product/d7/d3/86/92970c20cd8d10f281f079dba08b3d6b.jpg,,xiaomi
