name,url,price,ram,rom,image,category
oppo a15,https://viettelstore.vn/dien-thoai/oppo-a15-pid179083.html,3490000,3gb,32gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1oppo-a15-bla-1.jpg,oppo
realme c20,https://viettelstore.vn/dien-thoai/realme-c20-pid180196.html,2490000,2gb,32gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/realme-c20-grey-1.jpg,realme
realme c15,https://viettelstore.vn/dien-thoai/realme-c15-pid161623.html,3690000,4 gb,64 gb (khả dụng 44gb),https://cdn1.viettelstore.vn/images/product/productimage/medium/realme%20c15-blu-1.jpg,realme
iphone 12 pro 256gb pacific blue,https://viettelstore.vn/dien-thoai/iphone-12-pro-256gb-pacific-blue-pid195989.html,28490000,6gb,256gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1639163571111098101.jpeg,iphone
realme c12,https://viettelstore.vn/dien-thoai/realme-c12-pid154865.html,2990000,3gb,32gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/realme%20c12-blu-1.jpg,realme
samsung galaxy a32 4g,https://viettelstore.vn/dien-thoai/samsung-galaxy-a32-4g-pid183195.html,5990000,6 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/samsung-galaxy-a32-blu-1.jpg,samsung
samsung galaxy s21+ 5g 8/128gb,https://viettelstore.vn/dien-thoai/samsung-galaxy-s21-pid149239.html,16990000,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/ss-galaxy-s21plus-purl-1.jpg,samsung
samsung galaxy s21 ultra 5g 12/128gb,https://viettelstore.vn/dien-thoai/samsung-galaxy-s21-ultra-5g-pid149240.html,22490000,12gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/ss-galaxy-s21ultr-whi-1.jpg,samsung
samsung galaxy a12,https://viettelstore.vn/dien-thoai/samsung-galaxy-a12-pid163063.html,3490000,4 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/ss-a12-blu-1.jpg,samsung
vsmart live 4,https://viettelstore.vn/dien-thoai/vsmart-live-4-pid154473.html,4290000,6gb,64gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/18mths-vsmart%20live%204-blu-1.jpg,vsmart
vsmart active 3 6gb-64gb,https://viettelstore.vn/dien-thoai/vsmart-active-3-6gb-64gb-pid148014.html,3990000,6gb,64 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1vsmart-active-3-6gb-64gb.jpg,vsmart
vsmart aris 6gb-64gb,https://viettelstore.vn/dien-thoai/vsmart-aris-6gb-64gb-pid156968.html,5990000,6gb,64gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/18mths-vsmart%20aris-bla-1.jpg,vsmart
vsmart joy 4 3gb/64gb,https://viettelstore.vn/dien-thoai/vsmart-joy-4-3gb-64gb-pid156997.html,3290000,3gb,64gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/18mths-vsmart%20joy%204-blac-1.jpg,vsmart
vsmart aris pro,https://viettelstore.vn/dien-thoai/vsmart-aris-pro-pid156969.html,8490000,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/18mths-vsmart%20aris%20pro-gree-1.jpg,vsmart
oppo a73,https://viettelstore.vn/dien-thoai/oppo-a73-pid181204.html,5490000,6gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/oppo-a73-oran-1.jpg,oppo
oppo a93,https://viettelstore.vn/dien-thoai/oppo-a93-pid157507.html,6490000,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/oppo-a93-bla-1.jpg,oppo
xiaomi redmi 9c 3/64gb,https://viettelstore.vn/dien-thoai/xiaomi-redmi-9c-3-64gb-pid153257.html,2690000,3gb,64gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/xiaomi-redmi-9c-grey-18th.jpg,xiaomi
samsung galaxy a72 8/256gb,https://viettelstore.vn/dien-thoai/samsung-galaxy-a72-pid183194.html,10990000,8gb,256gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/samsung-galaxy-a72-bla-1.jpg,samsung
samsung galaxy a52 8/128gb,https://viettelstore.vn/dien-thoai/samsung-galaxy-a52-pid183193.html,8490000,8gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/samsung-galaxy-a52-whi-1.jpg,samsung
oppo reno5,https://viettelstore.vn/dien-thoai/oppo-reno5-pid161676.html,8690000,8 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1oppo-reno5-silver-1.jpg,oppo
oppo reno5 5g,https://viettelstore.vn/dien-thoai/oppo-reno5-5g-pid182674.html,11990000,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/oppo-reno5-5g-sil-1.jpg,oppo
oppo a92,https://viettelstore.vn/dien-thoai/oppo-a92-pid150155.html,6490000,8 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/a92-whi-1.jpg,oppo
oppo reno4 pro,https://viettelstore.vn/dien-thoai/oppo-reno4-pro-pid150780.html,11990000,8gb,256gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1reno4-pro-whi-1.jpg,oppo
oppo reno4,https://viettelstore.vn/dien-thoai/oppo-reno4-pid150777.html,8490000,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1reno4-blac-1.jpg,oppo
xiaomi mi 10t pro 5g 8/256gb,https://viettelstore.vn/dien-thoai/xiaomi-mi-10t-pro-5g-8-256gb-pid158176.html,11490000,8gb,256gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/lg-5g-xiaomi-mi-10t-pro-5g-8gb-128gb-bla-1.jpg,xiaomi
realme 6i,https://viettelstore.vn/dien-thoai/realme-6i-pid148548.html,4690000,4 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/realme-6i--gre1.jpg,realme
xiaomi mi poco x3 nfc 6/128gb,https://viettelstore.vn/dien-thoai/xiaomi-mi-poco-x3-nfc-6-128gb-pid156663.html,5790000,6gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/18ths-mi%20poco%20x3%20nfc%206-128gb-grey-1.jpg,xiaomi
xiaomi mi 10t pro 5g 8/128gb,https://viettelstore.vn/dien-thoai/xiaomi-mi-10t-pro-5g-8-128gb-pid181171.html,10490000,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/xiaomi%20mi%2010t%20pro%205g%208gb-128gb-blu-1.jpg,xiaomi
realme 7i,https://viettelstore.vn/dien-thoai/realme-7i-pid157208.html,6090000,8gb,128gb/ khả dụng 113gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/realme%207i-blu-1.jpg,realme
