name,category,price,image,url,ram,memory/rom
iphone 12 pro max i chính hãng vn/a ,iphone,29.800.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone-12-pro-max_1__7.jpg,https://cellphones.com.vn/iphone-12-pro-max.html,6 gb,
samsung galaxy note 20 ultra 5g,samsung,20.990.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/y/e/yellow_final_2.jpg,https://cellphones.com.vn/samsung-galaxy-note-20-ultra-5g.html,12 gb,
iphone 11 i chính hãng vn/a ,iphone,15.900.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/l/a/layer_20.jpg,https://cellphones.com.vn/iphone-11.html,4 gb,
iphone 12 i chính hãng vn/a ,iphone,20.200.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone-12_2__3.jpg,https://cellphones.com.vn/iphone-12.html,4 gb,
xiaomi redmi note 10,xiaomi,3.600.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/x/i/xiaomi-redmi-note-10_1.jpg,https://cellphones.com.vn/xiaomi-redmi-note-10.html,6 gb,
iphone 12 mini i chính hãng vn/a ,iphone,16.590.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone-12_7__6_1.jpg,https://cellphones.com.vn/iphone-12-mini.html,4 gb,
samsung galaxy s21 ultra 5g,samsung,26.300.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-s21-ultra-1_1.jpg,https://cellphones.com.vn/samsung-galaxy-s21-ultra.html,12 gb,
samsung galaxy note 20 ultra,samsung,24.850.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/b/l/black_final.jpg,https://cellphones.com.vn/samsung-galaxy-note-20-ultra.html,8 gb,
iphone 12 pro i chính hãng vn/a ,iphone,27.000.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone-12-pro-max_3__9.jpg,https://cellphones.com.vn/iphone-12-pro.html,6 gb,
samsung galaxy a72,samsung,10.500.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-a72-30.jpg,https://cellphones.com.vn/samsung-galaxy-a72.html,8 gb,
iphone xr 64gb i chính hãng vn/a ,iphone,12.100.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/a/p/apple-iphone-xr-64-gb-chinh-hang-vn_3_.jpg,https://cellphones.com.vn/apple-iphone-xr-64-gb-chinh-hang-vn.html,3 gb,
samsung galaxy a52,samsung,8.500.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-a52-26.jpg,https://cellphones.com.vn/samsung-galaxy-a52.html,8 gb,
samsung galaxy s21 plus 5g,samsung,21.700.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-s21-plus-3.jpg,https://cellphones.com.vn/samsung-galaxy-s21-plus.html,8 gb,
iphone 11 pro max chính hãng (vn/a),iphone,26.000.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone-11-pro-max-green.jpg,https://cellphones.com.vn/iphone-11-pro-max.html,4 gb,
samsung galaxy a12,samsung,3.600.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-a12_2_.jpg,https://cellphones.com.vn/samsung-galaxy-a12.html,4 gb,
oppo reno5,oppo,8.290.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/o/p/oppo-reno-5_3_.jpg,https://cellphones.com.vn/oppo-reno-5.html,8 gb,
vsmart live 4,vsmart,3.590.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/v/s/vsmart-live-_4_1_.jpg,https://cellphones.com.vn/vsmart-live-4.html,6 gb,
vsmart joy 4,vsmart,2.790.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/v/s/vsmart-joy-4_2_.png,https://cellphones.com.vn/vsmart-joy-4.html,3 gb,
iphone 11 128gb i chính hãng vn/a ,iphone,17.800.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/l/a/layer_20_1.jpg,https://cellphones.com.vn/iphone-11-128gb.html,4 gb,
vsmart star 5,vsmart,2.490.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/v/s/vsmart-star-5-1_3.jpg,https://cellphones.com.vn/vsmart-star-5.html,3 gb,
