Text,Sentiment
"Tôi muốn viết vài ý rất quan trọng để các bạn sinh viên hiểu: Tất cả chúng ta đều hiểu là để các trường đại học Việt Nam đạt được uy tín, có vị thế và thứ hạng cao, so sánh trước hết với các trường đại học trong khu vực và trên thế giới chắc chắn cần sự đầu tư và quyết tâm của tất cả các bên liên quan (chủ thể nhà trường, người học, người sử dụng lao động…), trong đó đầu tư nâng cao chất lượng đào tạo, cơ sở vật chất thực hành, thí nghiệm, môi trường học tập….
Trong bối cảnh đầu tư của Nhà nước hạn chế, không còn nhận được ngân sách từ Nhà nước thì làm sao ta đạt được mục tiêu trên? Tôi chỉ có một điều tin chắc chắn là chất lượng đào tạo của BKHN là rất ổn, kiến thức nền tảng hàn lâm đủ để các em sau khi tốt nghiệp theo đuổi được ước mơ cao hơn khi so sánh với bạn bè quốc tế. Thứ ta thiếu là gì? Hãy cùng suy ngẫm và tôi nghĩ mỗi người sẽ có câu trả lời chính xác luôn.",0
"Thừa độ ảo tưởng và thiếu độ thực tế.
Ở Châu Âu: trung bình~€ 2,000-3000, tức khoảng 10% thu nhập trung bình 1 năm của 1 hộ gia đình 4 người. Nhiều nước còn miễn học phí.
Ở Mỹ trường công lập top có học phí ~ 14000, tức khoảng 22% thu nhập trung bình 1 năm của 1 hộ gia đình 4 người.
Ở Sing trường NUS và NTU có học phí ngành kĩ thuật là 8,200 SGD, tức khoảng 22% thu nhập trung bình 1 năm của 1 hộ gia đình 4 người.
Ở Hàn học phí trung bình cho ngành kĩ thuật là 6000-7000 USD, tức khoảng 30% thu nhập trung bình 1 năm của 1 hộ gia đình 4 người.
Ở Nhật học phí trung bình cho ngành kĩ thuật là 5,137 USD, tức khoảng 11% thu nhập trung bình 1 năm của 1 hộ gia đình 4 người.
Ở Úc học phí trung bình cho ngành kĩ thuật là 6,820 USD, tức khoảng 8% thu nhập trung bình 1 năm của 1 hộ gia đình 4 người.
Ở Canada học phí trung bình cho ngành kĩ thuật là 12,845 USD, tức khoảng 17% thu nhập trung bình 1 năm của 1 hộ gia đình 4 người.
Còn ở Bách Khoa? Học phí cho các chương trình chuẩn khoảng 1,077 USD, tức khoảng 40% thu nhập trung bình 1 năm của 1 hộ gia đình 4 người.
Đấy là chưa kể ở nước ngoài có hỗ trợ tài chính (khác học bổng nhé) đủ các thể loại từ bang tới liên bang, các trường ở nước ngoài danh giá hơn, thu hút nhiều công ty tốt hơn, và cơ sở vật chất tốt hơn.",0
Nhiều giảng viên đi dạy còn ăn bớt giờ,0
"Em thưa thầy, môn đồ án của em 3 tín học phần 6 tín học phí Nhưng tất cả vải vóc , máy móc thiết bị thì sv tự túc, 1 tuần chỉ thông đồ án 1 lần, vậy, thì đóng 6 tín học phí cho mục đích gì ạ, trong khi cơ sở vật chất không được sử dụng đến????",0
"Tran Van Top em thưa thầy nhưng thực tế cơ sở vật chất ở các phòng thí nghiệm, thực hành trường ta ra sao ạ. Học phí có đắt một chút nhưng đổi bằng quyền lợi sinh viên thì bọn em không kêu ca gì đâu ạ. Có thể là đóng để cho những khoá sau nhưng như vậy đâu có công bằng với bọn em :((((",0
"Tran Van Top thầy ơi. Theo em cảm nhận, thứ nhà trường thiếu là tiền, gia đình sinh viên cũng là tiền. Em nghĩ sinh viên sẽ chẳng biểu tình mạnh mẽ nếu nhà trường minh bạch và điều chỉnh học phí phù hợp hơn. Khi tình hình covid khiến bao nhà thất nghiệp. Thì nhà trường lại muốn nâng cao mức học phí một cách tăng vọt luôn trong năm nay để nâng cao chất lượng đào tạo. Em đã có đứa em bỏ không theo bách khoa nữa vì học phí quá đắt. Không hiểu sao em cảm thấy thực sự hụt hẫng và bớt chút tự hào về trường ta.",0
"Đăng Phạm Mỹ https://www.usnews.com/.../paying-for-college-infographic
Sing: tự tra NUS và NTU tuition fee đi
Hàn: tự tra SNU và KAIST tuition fee đi
Nhật: tự tra UTokyo tuition fee đi
Can: tự tra Utoronto và Waterloo tuition fee đi
Nhớ là tuition fee cho local students nhé, và đừng có bảo là tại sao so với trường top. Không so với trường top thì khác nào nói Bách Khoa là trường làng ở VN đâu",0
Tran Van Top Thưa thầy. E muốn hỏi là nếu trường đã bảo tự chủ thì tại sao lại yêu cầu điểm rèn luyện ạ? Nếu tự chủ tức là chúng em bỏ hoàn toàn tiền ra để mua dịch vụ giảng dạy của nhà trường thì vấn đề điểm rèn luyện có nên hủy bỏ? . Thầy giúp em giải thích ạ!,0
"Tran Van Top Em hiểu khi tự chủ chắc chắn học phí phải tăng nhưng đến 1 lúc nào đó sẽ không thể tăng thêm được nữa,
với điều kiện là 1 trường kỹ thuật công nghệ tại sao các xưởng cơ khí lại không thương mại hóa 1 phần, các phòng lab, các phòng hóa học... làm như vậy trường có thêm 1 khoản thu không nhỏ mà sinh viên lại có cơ hội thực tế điều đang rất thiếu ở sinh viên
BKAV, Nguyễn Hà Đông đều được biết đến từ khi còn ngồi ghế nhà trường, SVBK còn rất nhiều người giỏi như vậy nhưng không phải ai cũng có thể tạo ra cơ hội. Hồi chiều em có nói học phí tăng không phải vấn đề lớn, vấn đề mất bao lâu để thu hồi chi phí đầu tư, nếu trường vẫn cố đào tạo theo hướng nghiên cứu trong khi số lượng sinh viên quá đông và nghiên cứu chỉ phù hợp với 1 bộ phận nhỏ thì rồi svbk ra trường doanh nghiệp sẽ phải đào tạo lại=>lương thấp, trong khi đó nếu làm như trên sẽ giải quyết được 1 lúc 3 vấn đề
Trên đây là ý kiến của em, mong thầy có thể xem xét ạ",0
"Hoàng Xuân Đích thôi thôi, bạn có đi học đâu =))",0
